"","V1","V2","V3","V4","V5"
"322",3,2,2,1,3
"323",1,2,2,2,2
"324",2,2,3,1,2
"325",2,3,3,3,3
"326",1,2,1,2,1
"327",2,1,3,2,2
"328",3,1,2,1,2
"329",3,1,1,1,2
"330",4,3,3,2,2
"331",2,1,1,2,2
"332",4,3,4,3,4
"333",1,2,1,2,3
"334",3,3,1,2,2
"335",3,3,2,2,1
"336",4,3,3,3,4
"337",4,3,3,3,4
"338",3,1,4,2,3
"339",2,1,1,1,3
"340",4,1,2,1,1
"341",3,2,3,1,3
"342",4,2,4,2,3
"343",2,1,4,2,4
"344",3,1,3,1,4
"345",2,3,2,2,3
"346",4,2,3,3,2
"347",4,1,2,2,1
"348",2,1,2,2,2
"349",2,2,2,2,2
"350",2,3,3,2,3
"351",2,2,1,2,3
"352",4,3,4,1,4
"353",2,2,2,2,2
"354",2,1,2,2,2
"355",2,2,3,2,4
"356",1,3,4,2,1
"357",3,1,3,2,2
"358",2,3,1,2,2
"359",2,2,2,3,3
"360",1,1,1,3,2
"361",1,3,3,1,3
"362",3,2,2,1,1
"363",2,2,3,3,1
"364",3,2,4,3,4
"365",2,3,2,2,2
"366",1,2,4,2,2
"367",2,2,2,3,2
"368",2,3,3,2,2
"369",3,2,4,2,3
"370",1,3,3,2,1
"371",1,2,2,1,1
"372",2,2,2,1,2
"373",1,3,4,3,2
"374",2,2,4,3,3
"375",1,1,1,2,2
"376",4,2,2,2,3
"377",2,2,1,1,3
"378",2,2,3,1,3
"379",4,2,1,3,1
"380",3,2,1,3,4
"381",2,2,3,2,4
"382",2,2,2,2,3
"383",2,2,2,2,3
"384",1,1,1,1,1
"385",2,2,1,2,3
"386",4,3,3,3,4
"387",3,3,4,2,2
"388",4,3,3,3,2
"389",2,1,2,1,3
"390",2,2,4,3,1
"391",2,3,4,3,4
"392",3,3,3,1,2
"393",2,2,2,3,4
"394",4,1,4,2,4
"395",1,1,1,1,3
"396",2,1,3,3,4
"397",4,3,3,2,3
"398",2,2,2,1,4
"399",2,3,3,2,3
"400",4,3,1,3,4
"401",1,2,3,3,1
"402",1,2,2,3,4
"403",3,1,1,2,2
"404",4,3,1,2,3
"405",4,3,1,3,3
"406",4,2,2,2,2
"407",2,1,4,2,4
"408",2,2,3,3,4
"409",1,1,1,1,1
"410",4,2,4,2,4
"411",4,3,4,2,4
"412",1,3,3,2,4
"413",4,3,1,2,3
"414",2,1,2,2,2
"415",4,1,2,3,2
"416",3,2,2,1,2
"417",3,2,1,3,3
"418",1,1,1,3,1
"419",3,3,2,2,4
"420",3,3,3,2,3
"421",3,3,2,2,3
"422",4,3,4,3,4
"423",1,1,1,1,1
"424",3,3,2,2,4
"425",1,1,1,1,2
"426",2,1,3,1,2
"427",2,1,3,1,2
"428",4,2,3,2,2
"429",3,3,2,3,4
"430",3,2,3,3,1
"431",1,2,3,3,2
"432",4,1,2,2,1
"433",1,2,2,2,2
"434",1,1,3,2,1
"435",2,2,3,3,3
"436",3,3,3,2,3
"437",2,3,2,3,4
"438",1,2,3,2,3
"439",1,2,2,2,4
"440",3,3,3,2,3
"441",1,1,1,1,2
"442",4,3,4,3,3
"443",2,1,1,1,1
"444",3,2,2,1,2
"445",2,1,3,2,1
"446",4,3,2,2,3
"447",4,3,4,2,3
"448",4,3,2,2,3
"449",4,1,3,3,2
"450",1,1,1,2,4
"451",2,1,3,1,2
"452",3,2,2,2,1
"453",3,2,3,2,4
"454",3,1,3,2,1
"455",2,2,2,3,4
"456",3,1,2,1,2
"457",3,3,4,3,4
"458",3,2,4,1,1
"459",3,3,2,2,4
"460",2,3,3,1,1
"461",1,2,3,2,3
"462",2,3,4,3,4
"463",4,1,4,2,3
"464",4,1,1,2,4
"465",3,1,4,2,3
"466",4,3,2,2,4
"467",3,3,2,1,4
"468",3,2,3,3,4
"469",3,1,3,1,3
"470",4,2,3,3,4
"471",3,2,4,3,2
"472",3,3,1,3,3
"473",2,2,2,3,2
"474",3,3,3,2,1
"475",2,2,1,2,2
"476",2,2,4,2,3
"477",2,1,2,2,4
"478",4,3,3,3,3
"479",3,3,3,3,4
"480",2,2,4,1,3
"481",3,3,3,2,2
"482",3,2,1,2,3
"483",2,2,4,2,4
"484",3,3,2,3,2
"485",2,1,3,2,2
"486",1,2,3,3,4
"487",1,1,2,2,1
"488",2,1,2,1,1
"489",4,2,3,1,3
"490",4,3,3,2,2
"491",3,1,4,1,1
"492",1,2,3,1,1
"493",4,3,4,3,4
"494",2,3,3,1,4
"495",4,3,3,3,4
"496",4,2,4,3,4
"497",3,2,2,2,1
"498",3,3,2,2,3
"499",1,1,3,2,4
"500",2,1,4,2,2
